DocumentID,Text,Label,LabelType,LabelName,DocumentType,LengthCharacters,HasEmoji,cleaned_text,tokens,LabelMapped
125832,"These underwear do what you expect and they are very comfortable for the price they are listed at. I was surprised with how comfortable they are. They have not passed the real test, which will be how they fit after being washed. If they fit with the same comfort, I may have to come back and revisit this initial review.",4,StarRating,4 Stars,Review,320,0,these underwear do what you expect and they are very comfortable for the price they are listed at i was surprised with how comfortable they are they have not passed the real test which will be how they fit after being washed if they fit with the same comfort i may have to come back and revisit this initial review,"['underwear', 'expect', 'comfortable', 'price', 'listed', 'surprised', 'comfortable', 'passed', 'real', 'test', 'fit', 'washed', 'fit', 'comfort', 'may', 'come', 'back', 'revisit', 'initial', 'review']",1
173111,I am a size 14 and I am on a weight journey so I will keep it it does fit and I love but if you are larger then that it will not fit,5,StarRating,5 Stars,Review,132,0,i am a size and i am on a weight journey so i will keep it it does fit and i love but if you are larger then that it will not fit,"['size', 'weight', 'journey', 'keep', 'fit', 'love', 'larger', 'fit']",1
171281,"Absolutely LOVE this Collagen! I was a bit skeptical to try a different brand that I was using but glad I did because it turned out to be way better! I put it in my coffee of a morning, it melts quickly and has absolutely no taste. I have been using it for almost 4 weeks and can see such a difference in my skin and hair.",5,StarRating,5 Stars,Review,322,0,absolutely love this collagen i was a bit skeptical to try a different brand that i was using but glad i did because it turned out to be way better i put it in my coffee of a morning it melts quickly and has absolutely no taste i have been using it for almost weeks and can see such a difference in my skin and hair,"['absolutely', 'love', 'collagen', 'bit', 'skeptical', 'try', 'different', 'brand', 'using', 'glad', 'turned', 'way', 'better', 'put', 'coffee', 'morning', 'melts', 'quickly', 'absolutely', 'taste', 'using', 'almost', 'weeks', 'see', 'difference', 'skin', 'hair']",1
170758,The author knows what he wrote about it.,5,StarRating,5 Stars,Review,40,0,the author knows what he wrote about it,"['author', 'knows', 'wrote']",1
28368,The first time I attempted to put water in the bladder it came streaming out of the lower left corner where the seam was not sealed correctly.,1,StarRating,1 Star,Review,142,0,the first time i attempted to put water in the bladder it came streaming out of the lower left corner where the seam was not sealed correctly,"['first', 'time', 'attempted', 'put', 'water', 'bladder', 'came', 'streaming', 'lower', 'left', 'corner', 'seam', 'sealed', 'correctly']",-1
215190,George Zimmerman is not going to win this trial he may as well plead guilty,-1,Sentiment,Negative,Tweet,75,0,george zimmerman is not going to win this trial he may as well plead guilty,"['george', 'zimmerman', 'going', 'win', 'trial', 'may', 'well', 'plead', 'guilty']",-1
164229,I absolutely love this to use on my clients ! MMA free !!,5,StarRating,5 Stars,Review,57,0,i absolutely love this to use on my clients mma free,"['absolutely', 'love', 'use', 'clients', 'mma', 'free']",1
217301,Purples and Football at Baby A's with my Aunt and Cousin. ready to see my JETS play on monday ;),0,Sentiment,Neutral,Tweet,96,0,purples and football at baby as with my aunt and cousin ready to see my jets play on monday,"['purples', 'football', 'baby', 'aunt', 'cousin', 'ready', 'see', 'jets', 'play', 'monday']",0
237699,@CyrisXD @HashtagRadioNZ sadly I don't have a PS4 so may as well keep giving away the games,-1,Sentiment,Negative,Tweet,91,0,cyrisxd hashtagradionz sadly i dont have a ps so may as well keep giving away the games,"['cyrisxd', 'hashtagradionz', 'sadly', 'dont', 'ps', 'may', 'well', 'keep', 'giving', 'away', 'games']",-1
84535,"We have Sirius XM in both of our vehicles and thought since they were offering a free week, we could get it on our TV. Wrong. We give Sirius XM 5 stars but the app. 1 star. To be able to get it on TV, we would have to update to the All Access plan which is more expensive.",3,StarRating,3 Stars,Review,272,0,we have sirius xm in both of our vehicles and thought since they were offering a free week we could get it on our tv wrong we give sirius xm stars but the app star to be able to get it on tv we would have to update to the all access plan which is more expensive,"['sirius', 'xm', 'vehicles', 'thought', 'since', 'offering', 'free', 'week', 'could', 'get', 'tv', 'wrong', 'give', 'sirius', 'xm', 'stars', 'app', 'star', 'able', 'get', 'tv', 'would', 'update', 'access', 'plan', 'expensive']",0
250483,New Haven and Bentley will also face off next Friday night as both teams looks for their first win of the season.  #NE10,0,Sentiment,Neutral,Tweet,120,0,new haven and bentley will also face off next friday night as both teams looks for their first win of the season ne,"['new', 'bentley', 'also', 'face', 'next', 'friday', 'night', 'teams', 'looks', 'first', 'win', 'season', 'ne']",0
253279,@MarkVonVegas It's the best. I can't wait to christen my new patio on September 26 with some coffee and RedZone on ipad.,1,Sentiment,Positive,Tweet,120,0,markvonvegas its the best i cant wait to christen my new patio on september with some coffee and redzone on ipad,"['markvonvegas', 'best', 'cant', 'wait', 'christen', 'new', 'patio', 'september', 'coffee', 'redzone', 'ipad']",1
31353,"I am allergic to it. I started sneezing within minutes and both nostrils were clogged, runny nose, watery and itchy eyes. I tried again after a few days to make sure it is not just some allergies, same thing happened.",1,StarRating,1 Star,Review,217,0,i am allergic to it i started sneezing within minutes and both nostrils were clogged runny nose watery and itchy eyes i tried again after a few days to make sure it is not just some allergies same thing happened,"['allergic', 'started', 'sneezing', 'within', 'minutes', 'nostrils', 'clogged', 'runny', 'nose', 'watery', 'itchy', 'eyes', 'tried', 'days', 'make', 'sure', 'allergies', 'thing', 'happened']",-1
117594,My main issue was it was leaking a bit when i received it and i find it pretty watery but it smells great and leaves my dogs smelling clean and dont dry their coats at all,3,StarRating,3 Stars,Review,171,0,my main issue was it was leaking a bit when i received it and i find it pretty watery but it smells great and leaves my dogs smelling clean and dont dry their coats at all,"['main', 'issue', 'leaking', 'bit', 'received', 'find', 'pretty', 'watery', 'smells', 'great', 'leaves', 'dogs', 'smelling', 'clean', 'dont', 'dry', 'coats']",0
54749,"This would have been a fabulous product for the price, if it was made with a stronger or flexible material. The mop head needs to be able to rotate 360 degrees. The current design on the mop makes it difficult to reach areas that don't have at least a 90 angle between the walls. I tried cleaning my sofa and the handle broke which could have been avoided with a less ridged material.",2,StarRating,2 Stars,Review,384,0,this would have been a fabulous product for the price if it was made with a stronger or flexible material the mop head needs to be able to rotate degrees the current design on the mop makes it difficult to reach areas that dont have at least a angle between the walls i tried cleaning my sofa and the handle broke which could have been avoided with a less ridged material,"['would', 'fabulous', 'product', 'price', 'made', 'stronger', 'flexible', 'material', 'mop', 'head', 'needs', 'able', 'rotate', 'degrees', 'current', 'design', 'mop', 'makes', 'difficult', 'reach', 'areas', 'dont', 'least', 'angle', 'walls', 'tried', 'cleaning', 'sofa', 'handle', 'broke', 'could', 'avoided', 'less', 'ridged', 'material']",-1
213605,@kathrynrhian ah right\u002c I\u2019ll have to go for plan B then ha. I suppose with the final deadline being December it\u2019s not too much of a problem,1,Sentiment,Positive,Tweet,154,0,kathrynrhian ah rightuc iull have to go for plan b then ha i suppose with the final deadline being december itus not too much of a problem,"['kathrynrhian', 'ah', 'rightuc', 'iull', 'go', 'plan', 'b', 'ha', 'suppose', 'final', 'deadline', 'december', 'itus', 'much', 'problem']",1
167241,Great stylish and soft rug. Was looking for a while for an odor free rug and this rug has zero odor.,5,StarRating,5 Stars,Review,100,0,great stylish and soft rug was looking for a while for an odor free rug and this rug has zero odor,"['great', 'stylish', 'soft', 'rug', 'looking', 'odor', 'free', 'rug', 'rug', 'zero', 'odor']",1
26654,It's not the same dress as in the picture,1,StarRating,1 Star,Review,41,0,its not the same dress as in the picture,"['dress', 'picture']",-1
45471,"Texture is nice, but the front lace is to obvious. I could not cover it completely",2,StarRating,2 Stars,Review,82,0,texture is nice but the front lace is to obvious i could not cover it completely,"['texture', 'nice', 'front', 'lace', 'obvious', 'could', 'cover', 'completely']",-1
17597,Was delivered to another state on the opposite coast,1,StarRating,1 Star,Review,52,0,was delivered to another state on the opposite coast,"['delivered', 'another', 'state', 'opposite', 'coast']",-1
9645,"Came today in a dented box after being promised for two day shipping (actually took 6 days). Got so tired and upset with the lying about the arrival date that I asked to cancel the order or return since the estimated delivery time was Mon or Tues, and of course magically amazon sent it to me the next day. And of course! Third party seller doesn’t allow returns! Horrible service and I already bought some at the drug store. Horrible delayed service without a return",1,StarRating,1 Star,Review,467,0,came today in a dented box after being promised for two day shipping actually took days got so tired and upset with the lying about the arrival date that i asked to cancel the order or return since the estimated delivery time was mon or tues and of course magically amazon sent it to me the next day and of course third party seller doesnt allow returns horrible service and i already bought some at the drug store horrible delayed service without a return,"['came', 'today', 'dented', 'box', 'promised', 'two', 'day', 'shipping', 'actually', 'took', 'days', 'got', 'tired', 'upset', 'lying', 'arrival', 'date', 'asked', 'cancel', 'order', 'return', 'since', 'estimated', 'delivery', 'time', 'mon', 'tues', 'course', 'magically', 'amazon', 'sent', 'next', 'day', 'course', 'third', 'party', 'seller', 'doesnt', 'allow', 'returns', 'horrible', 'service', 'already', 'bought', 'drug', 'store', 'horrible', 'delayed', 'service', 'without', 'return']",-1
3072,"Unfortunately, these replacement heads didn’t work. They fit on my epilator but do not remove hair.",1,StarRating,1 Star,Review,99,0,unfortunately these replacement heads didnt work they fit on my epilator but do not remove hair,"['unfortunately', 'replacement', 'heads', 'didnt', 'work', 'fit', 'epilator', 'remove', 'hair']",-1
73946,"I purchased this to use for work in my home office, so I wouldn’t have to have my cell phone right next to me (it is distracting). I set up the phone and found the features to be very useful! However, the call quality is extremely poor - I had clients telling me I was breaking up very badly and they couldn’t hear me. I had to switch back to using my cell which renders the phone useless. So, a waste of money.",2,StarRating,2 Stars,Review,411,0,i purchased this to use for work in my home office so i wouldnt have to have my cell phone right next to me it is distracting i set up the phone and found the features to be very useful however the call quality is extremely poor i had clients telling me i was breaking up very badly and they couldnt hear me i had to switch back to using my cell which renders the phone useless so a waste of money,"['purchased', 'use', 'work', 'home', 'office', 'wouldnt', 'cell', 'phone', 'right', 'next', 'distracting', 'set', 'phone', 'found', 'features', 'useful', 'however', 'call', 'quality', 'extremely', 'poor', 'clients', 'telling', 'breaking', 'badly', 'couldnt', 'hear', 'switch', 'back', 'using', 'cell', 'renders', 'phone', 'useless', 'waste', 'money']",-1
207319,I liked a @YouTube video http://t.co/8JWCGfna Jay Park Dancing Dougie with Prepix in front T.G.I.Friday's (cl,1,Sentiment,Positive,Tweet,109,0,i liked a youtube video httptcojwcgfna jay park dancing dougie with prepix in front tgifridays cl,"['liked', 'youtube', 'video', 'httptcojwcgfna', 'jay', 'park', 'dancing', 'dougie', 'prepix', 'front', 'tgifridays', 'cl']",1
83384,too small to handle. The bristles come out easily.,3,StarRating,3 Stars,Review,50,0,too small to handle the bristles come out easily,"['small', 'handle', 'bristles', 'come', 'easily']",0
